district_type_code,zone_type,district_title,old_description,juan_description,zoning_code_section,floor_area_ratio,maximum_building_height,lot_area_per_unit,front_yard_setback,side_setback,rear_yard_setback,rear_yard_open_space,on_site_open_space,minimum_lot_area
DX-3,7,DX-3 Downtown Mixed-Use,Downtown Mixed-Use,Downtown mixed-use with moderate density.,17-6-0200,3.0,None (tall buildings require Planned Development approval; Sec. 17-13-0600),400 sq ft/dwelling unit,0,0,No minimum for lots less than 10000 sq ft,,,None
DX-5,7,DX-5 Downtown Mixed-Use,Downtown Mixed-Use,Downtown mixed-use with moderate-high density.,17-6-0200,5.0,None (tall buildings require Planned Development approval; Sec. 17-13-0600),200 sq ft/dwelling unit,0,0,No minimum for lots less than 10000 sq ft,,,None
DX-7,7,DX-7 Downtown Mixed-Use,Downtown Mixed-Use,Downtown mixed-use with high density.,17-6-0200,7.0,None (tall buildings require Planned Development approval; Sec. 17-13-0600),145 sq ft/dwelling unit,0,0,No minimum for lots less than 10000 sq ft,,,None
DX-12,7,DX-12 Downtown Mixed-Use,Downtown Mixed-Use,Downtown mixed-use with very high density.,17-6-0200,12.0,No limit (subject to FAR and bonus provisions),115 sq ft/dwelling unit,0,0,No minimum for lots less than 10000 sq ft,,,None
DX-16,7,DX-16 Downtown Mixed-Use,Downtown Mixed-Use,Downtown mixed-use with highest density. Major downtown corridors.,17-6-0200,16.0,No limit (subject to FAR and bonus provisions),115 sq ft/dwelling unit,0,0,No minimum for lots less than 10000 sq ft,,,None
DC-12,8,DC-12 Downtown Core,Downtown Core,Downtown core with high density. Central Loop district.,17-6-0300,12.0,No limit (subject to FAR and bonus provisions),115 sq ft/dwelling unit,0,0,No minimum for lots less than 10000 sq ft,,,None
DC-16,8,DC-16 Downtown Core,Downtown Core,Downtown core with highest density. Tallest buildings allowed.,17-6-0300,16.0,No limit (subject to FAR and bonus provisions),115 sq ft/dwelling unit,0,0,No minimum for lots less than 10000 sq ft,,,None
DR-3,9,DR-3 Downtown Residential,Downtown Residential,Downtown residential with moderate density.,17-6-0400,3.0,None (tall buildings require Planned Development approval; Sec. 17-13-0600),400 sq ft/dwelling unit,15 ft,None (no minimum side setback in DR district per Sec. 17-4-0406-B),30 ft,36 sq ft/DU,,None
DR-5,9,DR-5 Downtown Residential,Downtown Residential,Downtown residential with moderate-high density.,17-6-0400,5.0,None (tall buildings require Planned Development approval; Sec. 17-13-0600),200 sq ft/dwelling unit,15 ft,None (no minimum side setback in DR district per Sec. 17-4-0406-B),30 ft,36 sq ft/DU,,None
DR-7,9,DR-7 Downtown Residential,Downtown Residential,Downtown residential with high density.,17-6-0400,7.0,None (tall buildings require Planned Development approval; Sec. 17-13-0600),145 sq ft/dwelling unit,15 ft,None (no minimum side setback in DR district per Sec. 17-4-0406-B),30 ft,36 sq ft/DU,,None
DR-10,9,DR-10 Downtown Residential,Downtown Residential,Downtown residential with very high density. Lakefront towers.,17-6-0400,10.0,No limit (subject to FAR and bonus provisions),115 sq ft/dwelling unit,15 ft,None (no minimum side setback in DR district per Sec. 17-4-0406-B),30 ft,36 sq ft/DU,,None
DS-3,10,DS-3 Downtown Service,Downtown Service,Downtown service district catering to office and institutional uses.,17-6-0500,3.0,None (tall buildings require Planned Development approval; Sec. 17-13-0600),400 sq ft/dwelling unit,0,0,30 ft,,,None
DS-5,10,DS-5 Downtown Service,Downtown Service,Downtown service district with moderate-high density.,17-6-0500,5.0,None (tall buildings require Planned Development approval; Sec. 17-13-0600),200 sq ft/dwelling unit,0,0,30 ft,,,None
PD,5,Planned Development,Planned Development,Planned developments are individually reviewed and approved by Chicago City Council. Standards vary by approval ordinance.,17-8-0100,Varies by planned development ordinance,Varies by planned development ordinance,Varies by planned development ordinance,Varies by planned development ordinance,Varies by planned development ordinance,Varies by planned development ordinance,,,None
POS-1,12,POS-1 Parks and Open Space,Parks and Open Space,Parks and open spaces. Public recreation areas and conservation.,17-7-0100,0.1,"30 ft, 2 stories",None,25 ft,15 ft,25 ft,,,None
POS-2,12,POS-2 Regional Parks and Open Space,Parks and Open Space,Regional parks. Large public recreation and conservation areas.,17-7-0100,0.05,"30 ft, 2 stories",None,25 ft,15 ft,25 ft,,,None
T,13,Transportation,Transportation,Transportation-related uses. Railroads and airports.,17-7-0200,None,None,None,None,None,None,,,None
PMD,3,Planned Manufacturing District,Manufacturing/Industrial,Planned manufacturing districts protect industrial areas from encroachment of non-industrial uses.,17-6-0600,Varies by PMD,Varies by PMD,None,Varies by PMD,Varies by PMD,Varies by PMD,,,None
